ticket_id,day_of_week,day_of_week_num,company_id,company_size,company_size_cat,industry,industry_cat,customer_tier,customer_tier_cat,org_users,region,region_cat,past_30d_tickets,past_90d_incidents,product_area,product_area_cat,booking_channel,booking_channel_cat,reported_by_role,reported_by_role_cat,customers_affected,error_rate_pct,downtime_min,payment_impact_flag,security_incident_flag,data_loss_flag,has_runbook,customer_sentiment,customer_sentiment_cat,description_length,priority,priority_cat
1000000000,Wed,3,100015,Small,1,media,7,Basic,1,126,APAC,3,2,0,mobile,3,web,1,support,1,2,5.451200538,6,0,0,0,0,neutral,2,227,low,1
1000000001,Sat,6,100023,Small,1,healthcare,5,Basic,1,101,AMER,1,2,3,analytics,5,chat,3,product_manager,3,24,2.495538315,2,0,0,0,0,neutral,2,461,low,1
1000000002,Mon,1,100012,Small,1,gaming,4,Basic,1,71,APAC,3,3,1,notifications,6,chat,3,devops,2,1,3.328401754,0,0,0,0,1,positive,3,306,low,1
1000000003,Wed,3,100003,Small,1,media,7,Plus,2,100,AMER,1,2,2,analytics,5,chat,3,finance,4,25,2.931905845,16,0,0,0,1,neutral,2,363,medium,2
1000000004,Mon,1,100019,Small,1,ecommerce,2,Plus,2,332,AMER,1,5,1,analytics,5,web,1,support,1,28,3.255221823,6,0,0,0,0,neutral,2,442,low,1
1000000005,Thu,4,100022,Medium,2,saas_b2b,3,Enterprise,3,596,EMEA,2,3,3,auth,1,email,2,support,1,74,0.538945288,13,0,0,0,1,neutral,2,349,medium,2
1000000006,Wed,3,100011,Small,1,gaming,4,Basic,1,74,APAC,3,0,0,mobile,3,email,2,support,1,17,1.60158398,5,0,0,0,1,neutral,2,187,low,1
1000000007,Tue,2,100008,Small,1,media,7,Basic,1,82,APAC,3,1,3,auth,1,web,1,finance,4,10,2.789413784,0,0,0,0,1,neutral,2,299,low,1
1000000008,Mon,1,100007,Large,3,media,7,Enterprise,3,5757,AMER,1,6,2,analytics,5,chat,3,finance,4,171,0.973382072,3,0,0,0,0,neutral,2,432,medium,2
1000000009,Wed,3,100013,Medium,2,media,7,Plus,2,701,APAC,3,1,1,billing,2,chat,3,support,1,62,2.931220426,0,0,0,0,0,neutral,2,243,low,1
1000000010,Tue,2,100011,Small,1,gaming,4,Basic,1,74,APAC,3,3,2,mobile,3,email,2,support,1,4,7.888578491,0,0,0,0,1,neutral,2,237,low,1
1000000011,Thu,4,100020,Medium,2,gaming,4,Plus,2,481,AMER,1,3,1,mobile,3,web,1,support,1,122,15.92510346,0,0,0,0,0,negative,1,386,medium,2
1000000012,Thu,4,100007,Large,3,media,7,Enterprise,3,5757,EMEA,2,8,4,mobile,3,phone,4,support,1,276,4.033129448,0,0,0,0,1,,0,556,medium,2
1000000013,Tue,2,100012,Small,1,gaming,4,Basic,1,71,APAC,3,2,1,notifications,6,web,1,support,1,3,3.444910419,0,0,0,0,1,positive,3,158,low,1
1000000014,Wed,3,100013,Medium,2,media,7,Plus,2,701,APAC,3,3,2,data_pipeline,4,web,1,finance,4,122,5.589222592,0,0,0,0,0,neutral,2,503,medium,2
1000000015,Mon,1,100004,Small,1,saas_b2b,3,Plus,2,118,APAC,3,4,2,billing,2,chat,3,support,1,41,1.121018908,68,0,0,0,1,neutral,2,292,medium,2
1000000016,Thu,4,100015,Small,1,media,7,Basic,1,126,APAC,3,3,1,auth,1,web,1,support,1,6,6.318374386,38,0,0,0,0,positive,3,400,medium,2
1000000017,Tue,2,100007,Large,3,media,7,Enterprise,3,5757,EMEA,2,10,4,analytics,5,web,1,support,1,89,2.589952188,0,0,0,0,1,negative,1,402,low,1
1000000018,Wed,3,100008,Small,1,media,7,Basic,1,82,APAC,3,3,0,analytics,5,email,2,support,1,3,0.3089947,0,0,0,0,0,negative,1,324,low,1
1000000019,Fri,5,100010,Large,3,saas_b2b,3,Plus,2,5353,AMER,1,4,2,auth,1,web,1,c_level,5,999,6.261724442,34,0,0,0,1,negative,1,515,high,3
1000000020,Mon,1,100009,Medium,2,media,7,Enterprise,3,639,EMEA,2,1,3,notifications,6,chat,3,support,1,126,1.998749911,36,0,0,0,1,negative,1,377,medium,2
1000000021,Fri,5,100001,Small,1,ecommerce,2,Basic,1,87,APAC,3,8,1,analytics,5,chat,3,support,1,1,0.340663894,0,0,0,0,0,neutral,2,277,low,1
1000000022,Tue,2,100007,Large,3,media,7,Enterprise,3,5757,AMER,1,2,2,mobile,3,phone,4,product_manager,3,93,0.512628646,0,0,0,0,1,neutral,2,368,low,1
1000000023,Wed,3,100020,Medium,2,gaming,4,Plus,2,481,AMER,1,1,2,mobile,3,web,1,finance,4,47,1.42965737,0,0,0,0,0,neutral,2,444,low,1
1000000024,Mon,1,100012,Small,1,gaming,4,Basic,1,71,APAC,3,2,0,notifications,6,web,1,support,1,5,2.595185806,3,0,0,0,1,positive,3,339,low,1
1000000025,Mon,1,100005,Large,3,logistics,6,Plus,2,4799,AMER,1,5,2,notifications,6,chat,3,support,1,260,0.754435829,21,0,0,0,0,positive,3,431,medium,2
1000000026,Thu,4,100008,Small,1,media,7,Basic,1,82,APAC,3,3,0,analytics,5,chat,3,product_manager,3,4,0.670190307,0,0,0,0,0,neutral,2,256,low,1
1000000027,Tue,2,100010,Large,3,saas_b2b,3,Plus,2,5353,AMER,1,5,3,mobile,3,chat,3,devops,2,93,1.610949078,0,0,0,0,1,neutral,2,372,low,1
1000000028,Fri,5,100023,Small,1,healthcare,5,Basic,1,101,AMER,1,3,1,billing,2,chat,3,support,1,7,1.850416101,0,0,0,0,1,neutral,2,214,low,1
1000000029,Wed,3,100025,Medium,2,saas_b2b,3,Plus,2,547,EMEA,2,3,1,analytics,5,email,2,product_manager,3,14,5.918528113,0,0,0,0,1,neutral,2,277,low,1
1000000030,Mon,1,100010,Large,3,saas_b2b,3,Plus,2,5353,AMER,1,6,3,auth,1,chat,3,devops,2,843,3.604602363,0,0,0,0,1,neutral,2,568,medium,2
1000000031,Sun,7,100009,Medium,2,media,7,Enterprise,3,639,EMEA,2,3,1,data_pipeline,4,email,2,c_level,5,173,5.211462613,25,0,0,0,1,neutral,2,489,high,3
1000000032,Mon,1,100013,Medium,2,media,7,Plus,2,701,APAC,3,3,0,mobile,3,chat,3,support,1,35,0.407249494,19,0,0,0,0,negative,1,364,medium,2
1000000033,Wed,3,100011,Small,1,gaming,4,Basic,1,74,APAC,3,1,0,auth,1,web,1,devops,2,7,3.596113536,0,0,0,0,0,neutral,2,393,low,1
