company_token,avg_error_rate_pct_gen,product_area,periodo_mes,avg_resolution_time_hours,deployment_failure_rate_pct,ticket_count,incident_count,avg_cpu_usage_pct,avg_availability_pct,rollback_count
aaf240cdc2c0,7.0,Analytics,2026-01,,,3,0,56.51,98.422,0
aaf240cdc2c0,,Analytics,2026-01,,,1,0,,,0
aaf240cdc2c0,3.0,Analytics,2026-01,,0.0,2,0,55.67,96.012,0
aaf240cdc2c0,6.0,Analytics,2026-01,,,1,0,65.0,95.885,0
aaf240cdc2c0,,Analytics,2026-01,,,1,0,,,0
aaf240cdc2c0,,Analytics,2026-01,,,2,0,,,0
aaf240cdc2c0,8.0,Analytics,2026-01,,0.0,2,0,23.48,96.792,0
aaf240cdc2c0,1.0,Analytics,2026-01,,,1,0,56.99,99.349,0
aaf240cdc2c0,4.0,Analytics,2026-01,,0.0,1,0,44.79,96.455,0
aaf240cdc2c0,,Analytics,2026-01,,0.0,2,0,,,0
aaf240cdc2c0,1.0,Analytics,2026-01,1.59,0.0,2,1,25.14,97.081,0
aaf240cdc2c0,,Analytics,2026-01,,,1,0,,,0
aaf240cdc2c0,,Analytics,2026-01,,0.0,2,0,,,0
aaf240cdc2c0,,Analytics,2026-01,,0.0,1,0,,,0
aaf240cdc2c0,,Analytics,2026-01,,,1,0,,,0
aaf240cdc2c0,9.0,Analytics,2026-01,,0.0,2,0,23.14,95.55,0
aaf240cdc2c0,7.0,Analytics,2026-01,,,1,0,56.2,95.743,0
aaf240cdc2c0,,Analytics,2026-01,,,2,0,,,0
aaf240cdc2c0,5.0,Analytics,2026-01,,0.0,1,0,87.99,99.233,0
aaf240cdc2c0,,Analytics,2026-01,,100.0,1,0,,,1
aaf240cdc2c0,0.0,Analytics,2026-01,,0.0,3,0,54.44,95.639,0
aaf240cdc2c0,0.0,Analytics,2026-01,,,1,0,63.94,97.71,0
aaf240cdc2c0,,Analytics,2026-02,,,1,0,,,0
aaf240cdc2c0,,Analytics,2026-02,,0.0,2,0,,,0
aaf240cdc2c0,3.0,Analytics,2026-02,,,1,0,72.56,96.87666666666668,0
aaf240cdc2c0,10.0,Analytics,2026-02,,0.0,1,0,21.08,95.764,0
aaf240cdc2c0,,Analytics,2026-02,,,1,0,,,0
aaf240cdc2c0,4.0,Analytics,2026-02,,0.0,1,0,61.01,97.858,0
aaf240cdc2c0,,Analytics,2026-02,,,1,0,,,0
aaf240cdc2c0,3.0,Analytics,2026-02,8.56,0.0,1,1,55.025,95.8905,0
aaf240cdc2c0,4.0,Analytics,2026-02,,0.0,3,0,94.39,97.786,0
aaf240cdc2c0,,Analytics,2026-02,,,1,0,,,0
aaf240cdc2c0,2.0,Analytics,2026-02,,,4,0,70.91,97.049,0
aaf240cdc2c0,,Analytics,2026-02,4.64,0.0,2,1,,,0
aaf240cdc2c0,,Analytics,2026-02,,0.0,1,0,,,0
aaf240cdc2c0,4.0,Analytics,2026-02,,0.0,1,0,50.77,98.078,0
aaf240cdc2c0,6.0,Analytics,2026-02,,0.0,1,0,53.98,99.7,0
aaf240cdc2c0,6.0,Analytics,2026-02,,0.0,2,0,35.504999999999995,97.49,0
aaf240cdc2c0,,Analytics,2026-02,,,4,0,,,0
aaf240cdc2c0,7.0,Analytics,2026-02,,,4,0,79.75,97.453,0
aaf240cdc2c0,,Analytics,2026-02,,,1,0,,,0
aaf240cdc2c0,3.0,Analytics,2026-02,,,3,0,20.76,96.418,0
aaf240cdc2c0,9.0,Analytics,2026-02,,,1,0,58.62,95.42,0
aaf240cdc2c0,3.0,Analytics,2026-03,,,1,0,61.19,97.433,0
aaf240cdc2c0,5.0,Analytics,2026-03,,,2,0,46.875,98.4695,0
aaf240cdc2c0,10.0,Analytics,2026-03,,,1,0,26.61,95.902,0
aaf240cdc2c0,,Analytics,2026-03,,0.0,1,0,,,0
aaf240cdc2c0,8.0,Analytics,2026-03,,,2,0,58.19,98.022,0
aaf240cdc2c0,,Analytics,2026-03,,0.0,1,0,,,0
aaf240cdc2c0,8.0,Analytics,2026-03,1.61,0.0,1,1,34.27,95.28,0
aaf240cdc2c0,,Analytics,2026-03,,,2,0,,,0
aaf240cdc2c0,,Analytics,2026-03,,,1,0,,,0
aaf240cdc2c0,1.0,Analytics,2026-03,,0.0,1,0,67.92,95.026,0
aaf240cdc2c0,,Analytics,2026-03,,,1,0,,,0
aaf240cdc2c0,5.0,Analytics,2026-03,,0.0,1,0,37.51,97.33,0
aaf240cdc2c0,,Analytics,2026-03,,,1,0,,,0
aaf240cdc2c0,10.0,Analytics,2026-03,,,1,0,29.96,99.702,0
aaf240cdc2c0,9.0,Analytics,2026-03,,,4,0,70.56,97.607,0
aaf240cdc2c0,,Analytics,2026-03,,,1,0,,,0
aaf240cdc2c0,4.0,Analytics,2026-03,,,1,0,30.84,96.865,0
aaf240cdc2c0,8.0,Analytics,2026-03,,0.0,1,0,22.01,97.97,0
aaf240cdc2c0,6.0,Analytics,2026-04,,0.0,1,0,58.18,96.907,0
aaf240cdc2c0,,Analytics,2026-04,0.62,0.0,2,1,,,0
aaf240cdc2c0,7.0,Analytics,2026-04,,,2,0,50.58,96.416,0
aaf240cdc2c0,5.0,Analytics,2026-04,,,1,0,39.13,97.11,0
